Marca temporal,How much money have you used in-game?,SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","And as final question, did you rerolled when you started playing?",SSR Sabers,SSR Archer,SSR Lancer,SSR Rider,SSR Caster,SSR Assassin,SSR Berserker,SSR Ruler,SSR Avenger or Angra,How long have you been playing FGO NA?,"How many SSR do you have in total, including NPs? (for example NP2 ssr count as 2) ","Only if you do want to answer, are you female or male?","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>500USD & <1000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>1001USD & <2000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>2001USD & <3000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>3001USD & <4000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>4001USD & <5000USD]","Only if you want to answer, how many have you put into the game, and how many SSR do you have approx? [>5000USD]","And as final question, did you rerolled when you started playing?",,,
10/07/2018 22:11,Paid Gacha Only,,,,,,,,,,,,,,Artoria Pendragon,,"Scathach, Brynhildr",Ozymandias,"Xuanzang, Leonardo Da Vinci",Jack the Ripper,Florence Nightingale,,,Between 6 and 12 months,9,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:12,F2P,,,,Francis Drake,,Jack the Ripper,Vlad III,,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:13,More than 1USD but less than 100 Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,Artoria Pendragon,,,,"Zhuge Liang [El-Melloi II], Xuanzang, Leonardo Da Vinci","MHX, Shuten Douji","Sakata Kintoki, Minamoto no Raikō",,,More than 1 year,8,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:14,F2P,Artoria Pendragon,,,,Zhuge Liang [El-Melloi II],MHX,,,Extra Option: Angra Mainyu,More than 1 year,4,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:14,Paid Gacha Only,,,,,,,,,,,,,,Artoria Pendragon,,,,,,,,,Between 3 and 6 months,2,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:14,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Okita Souji, Nero Claudius [Bride]",Gilgamesh,"Scathach, Brynhildr",,"Tamamo-no-mae, Xuanzang, Leonardo Da Vinci",Jack the Ripper,,"Jeanne D'arc, Amakusa Shirou",Jeanne D'arc [Alter],More than 1 year,17,Female,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:14,Paid Gacha Only,,,,,,,,,,,,,,,,,,,,Cu Chulainn [Alter],,,,6,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:14,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryougi Shiki,Nikola Tesla,Scathach,,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",,,,Edmond Dantes,More than 1 year,8,Prefer not to say,No,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:15,Paid Gacha Only,,,,,,,,,,,,,,,,Karna,,Zhuge Liang [El-Melloi II],,"Vlad III, Cu Chulainn [Alter]",Amakusa Shirou,,Between 6 and 12 months,5,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:15,Paid Gacha Only,,,,,,,,,,,,,,"Artoria Pendragon, Altera, Nero Claudius [Bride], Ryougi Shiki",,,Iskandar,"Zhuge Liang [El-Melloi II], Tamamo-no-mae",Jack the Ripper,Cu Chulainn [Alter],Jeanne D'arc,Jeanne D'arc [Alter],More than 1 year,14,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018 22:15,More than 100USD but less than 500 Montlhy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mordred,"Gilgamesh, Orion","Scathach, Karna",,"Zhuge Liang [El-Melloi II], Xuanzang",MHX,"Florence Nightingale, Minamoto no Raikō",Jeanne D'arc,"Jeanne D'arc [Alter], Extra Option: Angra Mainyu",More than 1 year,13,Male,"Yes, I rerolled",,,,,,,,,,,,,,,,,,,,,,
